module,size,sha256,isa,image_base,status
ap1.bin,684192,3ccee96ffeb5a8668f055ce97b59fe65084d4f28d47286ee63dd21c4bd96047b,MIPS32_LE,0x8067B000,confirmed
drv_other.bin,301072,e9463f81093a43990c39ca39555d2742f29ebb2fe7fc7ca7e8eac0b694de6451,MIPS32_LE,0x80782000,provisional
rom12.bin,82528,6747dadb731d13fdd17ba29121e9267ccc221fdfd7f7337df19d6f6c89c4e52f,nonlinear_or_data,,confirmed_not_linear_mips
cdrom.bin,63264,476368446103ddeb3e067ec556472e7d2e18d68e6da2ce7911a539661f6f3b61,MIPS32_LE,0x80754000,provisional
wma.bin,51308,8fd9d673b847b6764e8bd52888a86f42f040c0c07a141b9c3384f503eae8f26f,MIPS32_LE,0x8073F000,provisional
jpeg.bin,38816,466487578636c97949f1abf6a752279df98a80c51f3a8c38645db6181bc0a9ee,data_tables,,confirmed_not_linear_mips
iop.bin,1424,f2bc8ee705fb723710998a452617facc12a7d044626cdce45a0e18c7f8afffca,microcode_unknown,,provisional
srvdsp.bin,1128,f1c1cd85a647e3669f8bd39ccb75e53ec84a7d6951d17565207155d3e0457d12,microcode_unknown,,provisional
iop_rst.bin,712,b1e9ecc0240a767f12b1f8cb544f1747d5fe85a8d0e11a5caf7bec1990a0e373,microcode_unknown,,provisional
